feature,mean_abs_shap
activity_code,0.9250462
activity_gross,0.8475666
diagnosis_code,0.41301954
claim_net,0.40513477
claim_gross,0.3084244
billing_lag_days,0.22671291
icd_cpt_domain_match,0.13884495
cpt_category,0.124741055
clinician_category,0.0902906
clinician_profession,0.07816726
patient_age,0.07543032
icd_category,0.051463783
length_of_stay,0.024910102
gender,0.023003116
nationality,0.017506018
activity_quantity,0.008064738
facility_type,0.006729914
encounter_type,0.0056988937
payer_classification,7.374524e-06
