feature_1,feature_2,interaction_strength
activity_gross,claim_net,0.12665051
activity_code,activity_gross,0.0845119
claim_gross,claim_net,0.08002382
activity_code,claim_net,0.07623795
activity_gross,primary_diagnosis_code,0.07020109
activity_code,primary_diagnosis_code,0.06846315
activity_gross,cpt_category,0.063983686
activity_code,claim_gross,0.053813193
activity_gross,claim_gross,0.05251647
activity_code,cpt_category,0.047836885
activity_gross,clinician_profession,0.039055377
activity_code,primary_diagnosis_category,0.039017342
activity_code,clinician_profession,0.03773977
claim_net,primary_diagnosis_code,0.03751406
claim_net,cpt_category,0.03227698
primary_diagnosis_code,cpt_category,0.03119516
claim_gross,cpt_category,0.02891782
activity_gross,primary_diagnosis_category,0.028511036
activity_code,secondary_dx_count,0.028404757
patient_age,primary_diagnosis_code,0.023742562
claim_net,clinician_profession,0.022880401
activity_code,secondary_endocrinology,0.02260638
primary_diagnosis_code,secondary_dx_count,0.022044888
claim_gross,clinician_profession,0.021310478
claim_gross,primary_diagnosis_code,0.021126878
primary_diagnosis_code,primary_diagnosis_category,0.02041037
clinician_profession,cpt_category,0.02015578
activity_code,patient_age,0.019918233
claim_net,secondary_dx_count,0.018729515
activity_gross,secondary_dx_count,0.018465249
activity_gross,patient_age,0.018418781
clinician_profession,primary_diagnosis_code,0.017246269
claim_gross,secondary_dx_count,0.016711636
secondary_endocrinology,cpt_category,0.016679414
activity_code,secondary_factors_influencing_health_status,0.015424998
clinician_profession,secondary_factors_influencing_health_status,0.015142711
secondary_dx_count,cpt_category,0.014145792
clinician_profession,primary_diagnosis_category,0.013912872
primary_diagnosis_category,cpt_category,0.013850779
claim_gross,primary_diagnosis_category,0.0128416605
patient_age,claim_gross,0.012688822
patient_age,claim_net,0.012529772
activity_gross,secondary_musculoskeletal,0.012284163
patient_age,clinician_profession,0.01211805
claim_net,primary_diagnosis_category,0.011869044
activity_code,secondary_musculoskeletal,0.011379475
patient_age,secondary_dx_count,0.011316401
activity_code,secondary_oncology_hematology,0.0112943575
length_of_stay,primary_diagnosis_code,0.011052707
primary_diagnosis_category,secondary_dx_count,0.009987383
activity_code,secondary_gastroenterology_dental,0.009016279
patient_age,primary_diagnosis_category,0.008706435
activity_gross,secondary_endocrinology,0.008364811
activity_gross,secondary_factors_influencing_health_status,0.008346689
patient_age,cpt_category,0.008229986
activity_code,secondary_cardiology,0.008141427
clinician_profession,secondary_dx_count,0.008055977
primary_diagnosis_code,secondary_general_symptoms,0.007788883
claim_net,secondary_endocrinology,0.0073099853
activity_code,secondary_general_symptoms,0.0071641444
length_of_stay,clinician_profession,0.0069683073
activity_gross,encounter_type,0.0068616793
nationality,claim_net,0.0068028467
primary_diagnosis_code,secondary_gastroenterology_dental,0.0065580006
claim_gross,secondary_endocrinology,0.0065124235
activity_code,nationality,0.0064785373
primary_diagnosis_code,secondary_endocrinology,0.0064303395
secondary_factors_influencing_health_status,cpt_category,0.006268657
claim_gross,secondary_gastroenterology_dental,0.0061537116
claim_net,secondary_factors_influencing_health_status,0.0058993655
activity_gross,length_of_stay,0.005835721
activity_gross,secondary_general_symptoms,0.005729082
patient_age,secondary_endocrinology,0.0057156743
secondary_dx_count,secondary_general_symptoms,0.0056723366
nationality,cpt_category,0.0056618624
claim_gross,secondary_factors_influencing_health_status,0.005657682
secondary_musculoskeletal,cpt_category,0.0054234075
claim_gross,length_of_stay,0.0051608123
clinician_profession,secondary_endocrinology,0.005056582
activity_code,length_of_stay,0.0050221235
activity_code,gender,0.004979947
primary_diagnosis_code,secondary_factors_influencing_health_status,0.0049391896
primary_diagnosis_category,secondary_endocrinology,0.004927446
clinician_profession,secondary_musculoskeletal,0.0049219606
primary_diagnosis_category,secondary_factors_influencing_health_status,0.0046047033
claim_net,secondary_musculoskeletal,0.004603092
activity_code,secondary_pulmonology,0.0045583886
activity_gross,nationality,0.0044884076
secondary_dx_count,secondary_cardiology,0.0043783146
gender,claim_gross,0.0040665464
claim_net,length_of_stay,0.003772851
gender,primary_diagnosis_code,0.0037369046
secondary_general_symptoms,cpt_category,0.0037228588
activity_gross,secondary_oncology_hematology,0.0036226697
primary_diagnosis_code,secondary_musculoskeletal,0.0034823345
patient_age,secondary_musculoskeletal,0.0034358874
activity_gross,secondary_gastroenterology_dental,0.0034048813
primary_diagnosis_category,secondary_musculoskeletal,0.0033001942
claim_net,secondary_general_symptoms,0.0032631697
patient_age,secondary_general_symptoms,0.003239202
activity_gross,gender,0.0031917675
clinician_profession,secondary_gastroenterology_dental,0.00318395
activity_code,activity_quantity,0.003145922
primary_diagnosis_code,secondary_pulmonology,0.003131085
patient_age,gender,0.0031276478
patient_age,secondary_gastroenterology_dental,0.003081406
claim_net,secondary_gastroenterology_dental,0.003016359
activity_gross,secondary_pulmonology,0.003009557
nationality,primary_diagnosis_code,0.0029932202
claim_gross,secondary_musculoskeletal,0.0029691705
claim_gross,secondary_general_symptoms,0.0029564237
nationality,claim_gross,0.0029500332
secondary_cardiology,cpt_category,0.002937626
patient_age,secondary_factors_influencing_health_status,0.0029040389
length_of_stay,cpt_category,0.00288343
patient_age,secondary_cardiology,0.0026845655
patient_age,length_of_stay,0.0026756092
gender,primary_diagnosis_category,0.0026409272
