feature,mean_abs_shap
activity_code,0.9640763
activity_gross,0.79285264
primary_diagnosis_code,0.4541767
claim_net,0.37988964
claim_gross,0.26739025
cpt_category,0.20735998
clinician_profession,0.112507604
secondary_dx_count,0.09696681
primary_diagnosis_category,0.08653861
patient_age,0.08130843
secondary_endocrinology,0.051343676
secondary_factors_influencing_health_status,0.03369238
length_of_stay,0.033445552
secondary_musculoskeletal,0.029764889
secondary_general_symptoms,0.025538977
secondary_gastroenterology_dental,0.024807764
nationality,0.021043118
gender,0.016993271
secondary_cardiology,0.014064629
secondary_oncology_hematology,0.013873495
secondary_infectious,0.010729389
secondary_pulmonology,0.008967929
facility_type,0.008476984
activity_quantity,0.007966482
secondary_external_causes,0.005793695
secondary_genitourinary,0.0057295966
encounter_type,0.0050179097
secondary_neurology,0.004754394
secondary_trauma_burns_poisoning,0.0038627002
secondary_eye_ear,0.0035005722
secondary_psychiatry,0.0032046146
secondary_obgyn,0.0030864098
secondary_dermatology,0.002728978
secondary_oncology,0.0011226067
secondary_congenital,0.0007561809
secondary_pediatrics,0.00022221942
secondary_unknown_icd_category,8.337043e-05
payer_classification,1.8524096e-06
