feature,gain
activity_code,0.14841345
activity_gross,0.08349711
primary_diagnosis_code,0.05151736
cpt_category,0.04805045
encounter_type,0.042725015
secondary_endocrinology,0.036288846
claim_net,0.035847157
claim_gross,0.02918225
secondary_congenital,0.02828407
clinician_profession,0.027275397
secondary_obgyn,0.026695237
secondary_oncology_hematology,0.02473329
primary_diagnosis_category,0.024206296
secondary_factors_influencing_health_status,0.024136756
secondary_external_causes,0.0215511
facility_type,0.021071708
secondary_musculoskeletal,0.02087487
secondary_dx_count,0.02046563
secondary_pulmonology,0.019757222
secondary_cardiology,0.019706184
secondary_gastroenterology_dental,0.019660562
secondary_infectious,0.01927384
length_of_stay,0.018660309
nationality,0.01683623
secondary_psychiatry,0.01673216
secondary_neurology,0.015904106
secondary_genitourinary,0.015344952
secondary_oncology,0.015330094
secondary_general_symptoms,0.014951783
secondary_eye_ear,0.014532712
activity_quantity,0.012904691
secondary_dermatology,0.012824943
patient_age,0.011874236
secondary_trauma_burns_poisoning,0.011744814
gender,0.0111309495
secondary_pediatrics,0.008959281
secondary_unknown_icd_category,0.005677356
payer_classification,0.003377549
