"clinician_id","clinician_success_score"
"GD41448",0.5594
"GT15825",0.7500
"GT16069",0.9048
"DHA-P-1472060",0.8197
"GD25825",0.6093
"GD23867",0.4387
"DHA-P-21615947",0.6755
"GD45470",0.5824
"DHA-P-0252986",0.6667
"GT20974",1.0000
"DHA-P-79990839",0.0000
"DHA-P-52963399",0.4066
"GT7515",0.7568
"DHA-P-0146310",0.4302
"DHA-P-79904368",0.7023
"GD36734",0.6916
"GD36957",1.0000
"GD15634",0.6745
"GD42115",1.0000
"GD39647",0.3838
"DHA-P-48518796",1.0000
"GD21169",0.4486
"GD45391",0.6089
"GD11588",0.5000
"GD45452",0.6377
"GT4747",0.0000
"DHA-P-77140022",0.1797
"GD15002",0.3750
"GT6600",0.6892
"GT39251",0.9655
"GD41145",0.5789
"GT29252",0.5000
"DHA-P-70460222",0.2093
"DHA-P-0078321",0.5455
"DHA-P-0105141",0.8857
"DHA-P-0247342",0.6923
"DHA-P-0218182",0.6114
"DHA-P-0016884",0.0000
"DHA-P-43807622",0.1905
"GD20267",0.5977
"GD45270",0.0000
"GD12450",0.5989
"GT29287",0.5000
"GT8877",0.5385
"DHA-P-0033616",0.2903
"GT16727",0.6593
"GD21399",0.7194
"GT23252",0.3235
"GD41749",0.5853
"GD10193",0.6682
"GD25562",0.6904
"GD16937",0.4365
"GD40757",0.8945
"GD21401",0.3801
"GD40169",0.6742
"DHA-P-12669565",0.1591
"GD12259",0.0000
"GD38795",0.5945
"GD40922",0.7136
"DHA-P-21375241",0.0000
"GT37135",0.0980
"GD45983",0.7444
"GD40985",0.7320
"GD25807",0.3980
"GD37703",0.4635
"GD11106",0.5382
"DHA-P-0229843",0.3289
"GD41643",0.1250
"GD19948",0.6000
"GT5851",0.0000
"GD39727",0.2428
"GD7362",0.1667
"GD19542",0.6903
"GD41616",0.5714
"GD20396",0.6278
"GD41748",0.7500
"GD15239",0.4962
"GD17648",0.7869
"GT17225",0.8696
"GD11933",1.0000
"GD20385",0.5807
"GD38052",0.3368
"DHA-P-0251358",0.7301
"GD16846",0.6216
"DHA-P-0243276",0.0690
"DHA-P-0129930",0.6660
"GD25700",0.3333
"GD12473",0.4456
"DHA-P-15846967",0.5898
"DHA-P-14492709",0.3789
"GD43295",1.0000
"DHA-P-81341045",0.3830
"GD21951",0.5642
"GT5324",0.0000
"DHA-P-70496619",0.5518
"GD11567",0.8201
"GT17103",1.0000
"GD38169",0.5670
"GD43060",0.6250
"GD23867 ",0.1928
"DHA-P-28928692",0.3779
"DHA-P-0246377",0.5634
"GD25590",0.5833
"GD16581",0.3421
"GD18991",0.6169
"GD46516",0.4454
"GD39355",0.6809
"GD20633",0.5609
"DHA-P-34275505",0.6051
"GD16018",0.6576
"GD22675",0.7004
"GD19868",0.4881
"GD37220",0.6526
"GD37908",0.5830
"GD11568",0.5026
"GT7829",0.3750
"GD45462",0.6642
"GD44082",0.6044
"DHA-P-52884623",0.4444
"GD40905",0.5824
"DHA-P-0214518",0.2593
"GD19530",0.4188
"GD38319",0.5372
"GT7773",0.6246
"GD23080",0.4107
"GD37415",0.0000
"GD6943",1.0000
"GD40215",0.2075
"DHA-P-0048453",0.8253
"GT17481",1.0000
"GT22098",0.4182
"GD38993",0.5115
"GD44385",0.4536
"GD38488",0.6551
"GD19479",0.6879
"DHA-P-0221490",0.6991
"GD36393",0.5048
"GD38231",0.6419
"GT19140",0.6474
"DHA-P-0177865",0.7647
"GD42950",0.7609
"GT27000",1.0000
"DHA-P-7979164",0.2947
"GT31405",0.2000
"GD41707",0.5102
"GD46069",0.5964
"GT26389",0.5104
"GD39077",0.9167
"GD38075",0.5611
"GP12341",1.0000
"GD45554",0.6501
"GD38376",0.2708
"GD7029",0.0000
"GD37362",0.5172
"GD25456",0.4833
"GD38554",0.7024
"GD37462",0.5527
"GD16125",0.4602
"GD22185",0.0000
"GD41596",0.0000
"DHA-P-0169922",0.7377
"GD47199",0.7233
"GT30916",0.0000
"GD37177",0.3971
"GD11637",0.5191
"GT32766",1.0000
"GD40848",0.4855
"DHA-P-0148299",0.1930
"GD41705",0.4385
"DHA-P-0005588",0.7005
"GT36968",0.5258
"DHA-P-56890123",0.3346
"GD41671",0.3375
"DHA-P-98244731",0.7442
"GT7785",0.6531
"GD38410",0.2390
"GD41767",0.2553
"DHA-P-0111952",0.0566
"GD15519",0.5305
"GD22863",0.7024
"GD24714",0.0000
"GD22642",0.6266
"DHA-P-40468064",0.1200
"DHA-P-53709184",0.4489
"GD19208",0.0000
"GD10657",0.4047
"GD9895",0.6147
"GT15531",0.6736
"GD17493",0.6791
"GD9813",0.5000
"DHA-P-0188814",0.7745
"GT23328",0.7837
"GD46302",0.3051
"DHA-P-0225948",0.6585
"GD43960",0.0000
"GD7449",0.0000
"GD10352",0.4988
"DHA-P-22403864",0.6998
"GD39186",0.5758
"D1552",1.0000
"GD43406",0.5043
"GT28683",0.3459
"GD23578",0.7500
"GT15011",0.6689
"GD22251",0.6956
"GD43141",0.2639
"GT16716",0.7500
"DHA-P-0221343",0.5775
"GD22615",0.6667
"GD38691",0.5082
"DHA-P-62996743",0.5326
"DHA-P-61635180",0.4162
"DHA-P-0243496",0.5010
"GD46515",0.5000
"GT37382",0.5652
"GD12613",0.5208
"DHA-P-77114163",0.6492
"GT23829",0.0000
"DHA-P-88572802",0.5938
"GD38793",0.6723
"DHA-P-0226512",0.6238
"GD45678",0.8439
"DHA-P-27337208",0.3870
"GD23286",0.4444
"GD16691",0.4102
"DHA-P-0245757",0.4873
"DHA-P-28546944",0.1818
"GD22461",0.1429
"GD22778",0.4977
"GD10489",0.2857
"DHA-P-0089507",0.7370
"GT17035",0.2925
"GD37677",0.0000
"GD42169",1.0000
"GD12719",0.7641
"GT21274",0.6129
"GD43767",0.1764
"GT16033",1.0000
"GD10020",0.0769
"GD36332",0.6181
"DHA-P-0246339",0.4182
"GD12089",0.3811
"GD10532",0.5484
"DHA-P-0217129",0.5556
"GD18943",0.5000
"GD23806",0.5044
"DHA-P-12357117",0.6348
"GD15183",0.5027
"GD16236",0.6240
"GD41201",0.8264
"GT26019",1.0000
"DHA-P-45579623",0.5116
"GT32105",1.0000
"GD40104",0.3582
"DHA-P-0124679",1.0000
"GD12004",0.6082
"GD39200",0.5057
"DHA-P-46399799",0.8468
"GT21432",1.0000
"GD22603",0.7143
"GD18302",0.5236
"GD40965",0.6569
"GD11560",0.6897
"GT17134",0.3791
"DHA-P-0580318",0.5691
"DHA-P-76960020",0.3994
"GD15581",0.6384
"GT25235",0.0000
"GD44850",0.5103
"GD45473",0.3556
"GD40395",0.3713
"GD43083",0.2722
"GT35401",0.0032
"GT23813",0.5333
"DHA-P-15799906",0.2615
"GT36800",0.6542
"GD41747",0.5639
"GD46350",0.2692
"GD46477",0.5452
"GD43499",0.0000
"GD36798",0.3333
"GD18053",0.6029
"DHA-P-97598431",0.6437
"GD36062",0.6788
"GD46495",0.3698
"DHA-P-0249994",0.5614
"GD21631",0.6283
"GD25791",0.9045
"GD19152",0.6820
"DHA-P-0104651",0.4527
"DHA-P-0009875",0.6486
"GD38589",0.2558
"GD15560",0.2701
"DHA-P-80102456",0.7535
"DHA-P-40673733",0.8000
"111111",1.0000
"DHA-P-57584226",0.8066
"GD25198",0.5057
"DHA-P-47568289",0.7210
"GD11185",0.5018
"DHA-P-0113916",0.5000
"GD36446",0.5858
"GD44784",0.5863
