"payer_id","activity_code","coverage_score"
"INS008","91065",0.4667
"E001","70470",1.0000
"SF0051","83516",0.2857
"INS008","0070-310402-1021",0.4286
"INS012","87046",0.6444
"INS019","A6257",1.0000
"INS002","A9270",1.0000
"INS001","73521",0.0000
"INS010","93015",1.0000
"INS012","11.02",0.8120
"INS005","81001",0.7400
"INS014","87804",0.0000
"E001","52310",0.0000
"INS012","84520",0.0000
"E001","87088",0.0000
"E001","84305",0.3998
"INS008","A4930",1.0000
"INS012","73721",1.0000
"E001","J58-4690-02976-01",0.5455
"INS010","76942",1.0000
"E001","H01-5228-05561-01",0.7000
"E001","H37-4002-04308-01",1.0000
"INS038","82670",0.3333
"E001","01301",0.0000
"E001","P05-1325-01670-03",0.9245
"INS033","72100",1.0000
"INS017","85610",0.5067
"INS001","A4332",1.0000
"INS019","80051",1.0000
"INS041","10",1.0000
"INS033","82565",0.8387
"INS001","93224",0.3478
"INS026","86235",0.4667
"INS024","4267-234502-1172",1.0000
"INS012","0181-361903-1021",0.0000
"INS137","83993",0.5387
"INS137","0993-197503-1023",1.0000
"INS044","A4270",0.0000
"E001","J45-5623-01795-02",0.7619
"INS019","85732",0.8889
"INS008","76870",1.0000
"INS137","0063-371603-1021",0.4722
"INS001","85045",1.0000
"INS134","90471",1.0000
"INS026","83516",0.6210
"INS028","0035-260403-1171",0.0000
"E001","25075",0.0000
"E001","84156",0.5290
"INS030","0095-149904-1171",0.0000
"E001","114123",0.0000
"INS137","9",0.7500
"INS002","A4927",1.0000
"E001","80175",0.0000
"SF0051","82947",0.9107
"INS002","51741",1.0000
"INS044","84132",1.0000
"INS137","86762",1.0000
"INS012","84300",1.0000
"INS044","86160",0.6522
"INS022","77073",0.0000
"INS010","80069",0.3200
"E001","N50-2957-02030-01",0.4670
"INS137","6739-227503-1022",1.0000
"SF0051","82310",1.0000
"INS002","82570",1.0000
"INS013","0070-310402-1021",1.0000
"E001","97161",0.5336
"INS084","80061",1.0000
"E001","A72-3873-04176-01",0.2759
"INS014","73718",1.0000
"INS010","73223",1.0000
"INS042","85025",0.0000
"INS001","0829-456901-2001",0.0000
"INS013","82043",1.0000
"E001","E74-2782-05938-01",1.0000
"INS027","86140",0.6923
"INS013","A9270",1.0000
"E001","91119",0.0000
"E001","73120",0.4931
"INS010","84146",1.0000
"INS026","58301",1.0000
"INS001","83520",0.6471
"INS038","72120",1.0000
"E001","H68-9359-04696-01",0.0000
"E001","92570",0.0000
"INS022","86038",1.0000
"E001","84480",1.0000
"INS017","72100",1.0000
"E001","84681",0.4054
"INS012","71046",1.0000
"INS008","1202-260701-1112",0.0000
"INS010","83993",0.4304
"INS026","93306",0.7400
"E001","43421",0.6765
"E001","J63-B108-03606-01",0.2000
"E001","H21-0927-01181-01",0.7561
"E001","73562",0.5556
"E001","92650",0.6364
"E001","J45-1780-00309-01",0.6389
"INS026","85732",0.6563
"INS019","1217-627603-1022",0.0000
"INS137","72197",1.0000
"INS137","0414-203702-1971",0.0000
"E001","K54-1906-01121-01",0.0000
"E001","72329",0.6923
"INS139","5939-640405-1631",0.0000
"INS137","82465",0.7000
"INS010","86140",0.4672
"E001","85230",1.0000
"INS012","84586",0.0000
"INS012","86778",0.0000
"E001","82962",0.8151
"INS137","84484",1.0000
"E001","IT8-B469-12934-01",0.3721
"INS026","86901",0.0000
"INS013","84153",0.5366
"INS002","85613",1.0000
"E001","80373",0.2013
"INS137","1516-107904-1111",1.0000
"INS027","84460",1.0000
"INS010","90837",0.0000
"E001","11104",0.0233
"INS026","0085-387501-0241",0.0000
"INS026","9",0.8093
"INS008","87070",1.0000
"E001","73080",0.7949
"INS008","83690",0.3333
"INS012","5252-168202-1112",1.0000
"INS009","90471",1.0000
"INS134","11",0.6667
"INS008","85652",0.0000
"E001","82024",0.3686
"E001","74019",0.7154
"E001","E98-4614-03232-01",0.9386
"INS024","86200",0.7143
"E001","87425",1.0000
"INS005","SL-001",1.0000
"E001","EM6-B043-00658-01",0.0000
"E001","81361",0.0000
"INS012","86703",0.2558
"E001","85611",1.0000
"INS024","86140",0.8367
"INS001","84144",0.7200
"INS012","0993-197503-1022",1.0000
"E001","H46-4891-05179-01",0.9662
"E001","B74-4014-04299-01",0.3980
"INS012","75574",1.0000
"INS137","82024",1.0000
"E001","87205",0.5924
"E001","A53-4867-05159-01",0.0000
"E001","33125",1.0000
"E001","K35-5664-00214-01",0.5775
"SF0051","0005-111805-1021",0.5000
"INS012","59871",1.0000
"INS038","A4927",1.0000
"E001","064181",0.1209
"E001","O30-1859-03113-04",0.4030
"INS017","83695",1.0000
"INS137","20.09",0.5814
"INS001","87177",0.6667
"E001","86682",0.0000
"INS038","82728",0.4423
"INS002","0027-142201-0831",0.0000
"E001","82525",0.9716
"INS005","90471",1.0000
"INS017","85730",0.2881
"INS005","85025",0.4770
"E001","F62-5477-05010-01",0.6000
"INS015","84479",0.0000
"INS012","86141",0.3000
"E001","73560",0.5827
"E001","G46-4867-05152-01",1.0000
"E001","TNF MED",1.0000
"INS022","88142",1.0000
"INS033","86140",0.7826
"INS019","84450",0.7403
"INS007","97110",0.0000
"INS001","86376",0.8148
"INS017","063130",0.0000
"E001","F91-2201-00334-02",0.3000
"INS010","11.02",0.3611
"E001","99242",1.0000
"INS137","A9270",1.0000
"INS008","73600",0.8000
"E001","84402",0.6046
"INS137","84460",0.6876
"INS084","83550",0.0000
"E001","85613",0.3426
"INS012","70551",1.0000
"INS013","A4216",1.0000
"INS001","82570",0.7211
"INS026","6640-948702-0141",1.0000
"E001","70220",0.0000
"INS022","93000",1.0000
"E001","B30-5626-01790-01",1.0000
"INS137","86225",0.8797
"INS137","87880",0.0909
"E001","95813",0.4422
"INS033","82306",1.0000
"INS137","29130",1.0000
"INS026","82150",0.0144
"INS026","91065",0.8333
"INS022","84403",0.4000
"E001","G45-5321-05638-01",0.1613
"INS038","82397",1.0000
"E001","J23-3561-01796-01",0.2857
"E001","H21-5699-05984-01",0.5330
"INS035","84460",1.0000
"E001","72197",0.3846
"SF0051","83993",0.5714
"INS001","82310",0.5430
"E001","20141",0.8028
"E001","G83-6399-05233-01",1.0000
"SP0059","0006-106607-1161",0.0000
"INS026","1025-149109-2611",0.5763
"INS017","84520",1.0000
"INS012","0006-402803-2071",0.0000
"INS007","0170-700501-1022",1.0000
"INS002","84155",1.0000
"INS001","86593",0.6000
"E001","BO1-B447-02859-01",1.0000
"INS012","1554-265601-1022",0.0000
"INS002","71045",1.0000
"INS013","76872",1.0000
"E001","L58-9637-04308-01",1.0000
"INS038","73564",1.0000
"INS001","83090",0.7333
"INS013","5659-863101-3871",1.0000
"E001","20611",0.4610
"E001","87340",0.5286
"INS026","58300",0.0000
"INS137","70544",1.0000
"INS013","73560",0.2000
"INS001","87220",0.0000
"E001","C81-6076-06273-01",0.6447
"INS044","82570",0.6522
"INS026","A4930",1.0000
"INS001","0070-124404-2061",1.0000
"INS026","0321-172805-1171",0.0000
"INS005","76881",1.0000
"E001","82175",0.0000
"INS022","4573-777701-1132",1.0000
"INS047","84450",0.0000
"INS026","0318-220303-0801",1.0000
"E001","N65-0079-04533-01",0.3704
"E001","064163",0.0000
"INS008","0336-447501-1131",0.6667
"INS005","86147",1.0000
"INS002","43239",1.0000
"INS002","0336-447501-1131",0.5000
"INS019","A4216",1.0000
"INS137","88312",0.7143
"INS010","A6413",1.0000
"INS001","5939-640405-1631",1.0000
"E001","F75-2496-05350-01",1.0000
"INS014","73721",0.0000
"INS026","84075",0.6383
"E001","R14-7609-04297-01",0.7342
"INS137","83921",0.3333
"E001","L69-4652-05369-01",0.0000
"INS001","87804",0.2143
"INS137","76830",0.8125
"E001","83695",0.2336
"INS013","92250",1.0000
"INS134","87177",1.0000
"E001","R43-8443-02234-01",1.0000
"INS013","0181-361903-1021",1.0000
"INS017","87070",0.8478
"E001","10140",0.5000
"INS019","84480",0.7778
"INS139","84450",1.0000
"INS022","80048",0.0000
"INS010","82043",1.0000
"SP0059","1086-123702-1381",0.0000
"INS042","88341",1.0000
"INS013","83021",0.0000
"SF0051","87880",0.2391
"INS044","83001",0.0000
"INS012","86225",0.7931
"INS015","83721",1.0000
"E001","A36-A201-10728-01",0.2793
"E001","P14-0254-00333-01",0.7063
"E001","E65-3792-04091-01",0.5000
"E001","E09-0101-00458-01",0.0000
"INS001","87070",0.3000
"INS010","84520",1.0000
"INS026","71045",0.5333
"E001","70360",0.0595
"INS001","0181-361903-1021",0.4000
"INS027","82550",0.0000
"INS022","83550",1.0000
"INS026","0042-220701-1171",0.5000
"INS001","61.11",0.0000
"INS006","86140",1.0000
"E001","F27-8587-08489-01",0.2000
"E001","H21-0712-05016-01",0.0000
"SP0026","063130",0.0000
"INS022","5659-863101-3871",0.2222
"INS137","MH150070",1.0000
