"payer_id","diagnosis_code","activity_code","pa_risk_score"
"E001","000","A18-3843-02051-01",0.0000
"E001","000","A37-5696-05984-01",0.0000
"E001","000","A4215",0.0000
"E001","000","A4253",0.0000
"E001","000","A4259",0.3333
"E001","000","A4670",0.0000
"E001","000","A49-0781-02362-01",0.0000
"E001","000","A49-3401-03611-01",0.0000
"E001","000","A49-3401-03614-01",0.3333
"E001","000","A51-3126-02924-01",0.2500
"E001","000","A51-3126-02924-02",0.0000
"E001","000","A54-0245-01399-01",0.1667
"E001","000","A54-4322-05367-01",0.0000
"E001","000","A58-0965-01277-01",0.0000
"E001","000","A60-5516-03887-01",0.0000
"E001","000","A60-8276-04577-01",0.0000
"E001","000","A64-1536-05978-01",0.0000
"E001","000","A64-3125-01647-01",0.0000
"E001","000","A64-3130-01658-01",0.2000
"E001","000","A64-5211-05543-01",0.0000
"E001","000","A64-5214-05539-01",0.0000
"E001","000","A68-4834-03357-01",0.0000
"E001","000","A68-5330-00285-01",0.0000
"E001","000","A77-5990-06186-01",0.0526
"E001","000","A77-6241-06186-01",0.0000
"E001","000","A78-4427-00725-01",0.0000
"E001","000","A9276",0.0000
"E001","000","AX7-9839-05904-01",0.0000
"E001","000","B08-5995-00180-01",0.0000
"E001","000","B08-7850-05377-01",0.0000
"E001","000","B31-2723-04745-02",0.0000
"E001","000","B46-2024-01574-01",0.1429
"E001","000","B46-3628-02156-01",0.0000
"E001","000","B46-3628-02157-01",0.0000
"E001","000","B46-4387-00779-01",0.0000
"E001","000","B46-4582-00785-01",0.1176
"E001","000","B46-5046-00793-01",0.0000
"E001","000","B46-5682-01576-01",0.0000
"E001","000","B46-5682-01578-01",0.0000
"E001","000","B48-1158-04970-01",0.0000
"E001","000","B48-1158-04973-01",0.0000
"E001","000","B62-0214-02570-01",0.0000
"E001","000","B72-0723-00835-01",0.0000
"E001","000","B91-3034-06384-01",0.0000
"E001","000","C08-0428-00492-01",0.3333
"E001","000","C08-0784-01357-01",1.0000
"E001","000","C12-0571-01674-01",0.0000
"E001","000","C18-5665-04946-01",0.0000
"E001","000","C80-0709-02879-01",0.0000
"E001","000","C80-2663-02031-01",0.0000
"E001","000","C80-2663-02032-01",0.0000
"E001","000","C80-4808-04652-01",0.5000
"E001","000","C81-1518-00721-01",0.0000
"E001","000","C81-3816-04059-01",0.0000
"E001","000","C81-6076-06271-01",0.0000
"E001","000","C81-6076-06273-01",0.0000
"E001","000","C83-3357-03613-02",0.0000
"E001","000","C83-5340-00306-01",0.0000
"E001","000","C84-5255-03449-01",0.5000
"E001","000","D23-5998-02817-01",0.0000
"E001","000","E13-7116-07141-01",0.0000
"E001","000","E34-0581-00679-01",0.3333
"E001","000","E40-B893-13935-01",0.0000
"E001","000","E40-B893-13937-01",0.0000
"E001","000","E65-3792-04091-01",0.0000
"E001","000","E66-5808-06041-01",0.0000
"E001","000","E98-2638-01779-01",0.1667
